station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,snowdepth
PHL,1/1/2024 00:00,-75.2266,39.8734,43,25,48.7,0,0,,,1016.5,10,,,,,,5741,,,,,,,,,,,43,
PHL,1/1/2024 00:54,-75.2266,39.8734,42,25,50.61,0,0,0,30.02,1016.4,10,,SCT,SCT,BKN,,4900,14000,23000,,,,,,,,,42,
PHL,1/1/2024 01:54,-75.2266,39.8734,40,30,67.18,180,4,0,30.02,1016.6,10,,BKN,,,,11000,,,,,,,,,,,36.76,
PHL,1/1/2024 02:54,-75.2266,39.8734,40,29,64.5,200,5,0,30.03,1016.8,10,,FEW,BKN,OVC,,7000,9000,12000,,,,,,,,,35.9,
PHL,1/1/2024 03:54,-75.2266,39.8734,41,28,59.55,210,3,0,30.03,1017,10,,SCT,OVC,,,5000,6000,,,,,,,,,,38.98,
PHL,1/1/2024 04:54,-75.2266,39.8734,41,29,62.04,0,0,0,30.03,1016.7,10,,FEW,OVC,,,4500,5500,,,,,,,,,,41,
PHL,1/1/2024 05:54,-75.2266,39.8734,40,29,64.5,0,0,0,30,1016,10,,OVC,,,,5000,,,,,,,,,,,40,
PHL,1/1/2024 06:54,-75.2266,39.8734,41,30,64.63,0,0,0,30,1015.8,10,,OVC,,,,4500,,,,,,,,,,,41,
PHL,1/1/2024 07:54,-75.2266,39.8734,41,33,72.96,0,0,T,30,1015.8,10,,FEW,BKN,OVC,,3500,4300,6500,,,,,,,,,41,
PHL,1/1/2024 08:54,-75.2266,39.8734,41,33,72.96,0,0,0,29.99,1015.3,10,,FEW,OVC,,,3500,4500,,,,,,,,,,41,
PHL,1/1/2024 09:54,-75.2266,39.8734,40,33,75.84,30,3,0,29.97,1014.9,10,,OVC,,,,4800,,,,,,,,,,,37.83,
PHL,1/1/2024 10:54,-75.2266,39.8734,40,34,78.94,40,4,0,29.99,1015.6,10,,OVC,,,,5000,,,,,,,,,,,36.76,
PHL,1/1/2024 11:54,-75.2266,39.8734,41,33,72.96,30,4,0,30.01,1016.1,10,,OVC,,,,4800,,,,,,,,,,,37.93,
PHL,1/1/2024 12:54,-75.2266,39.8734,40,33,75.84,20,4,0,30.01,1016.2,10,,FEW,BKN,OVC,,4500,7500,11000,,,,,,,,,36.76,
PHL,1/1/2024 13:54,-75.2266,39.8734,42,33,70.19,360,5,0,30.03,1016.9,10,,FEW,SCT,OVC,,4500,7500,11000,,,,,,,,,38.27,
PHL,1/1/2024 14:54,-75.2266,39.8734,43,33,67.54,20,6,0,30.04,1017.3,10,,FEW,SCT,BKN,,4000,7500,11000,,,,,,,,,38.78,
PHL,1/1/2024 15:54,-75.2266,39.8734,46,34,62.71,100,6,0,30.04,1017,10,,FEW,SCT,BKN,,4000,7500,10000,,,,,,,,,42.39,
PHL,1/1/2024 16:54,-75.2266,39.8734,45,33,62.58,0,0,0,30.02,1016.6,10,,SCT,SCT,BKN,,2000,7500,10000,,,,,,,,,45,
PHL,1/1/2024 17:12,-75.2266,39.8734,47,34,60.38,320,4,0,30.02,,10,,BKN,BKN,BKN,,2500,7500,9500,,,,,,,,,44.94,
PHL,1/1/2024 17:54,-75.2266,39.8734,46,34,62.71,340,7,0,30.01,1016.2,10,,FEW,BKN,OVC,,1700,2800,9000,,,,,,,,,41.84,
PHL,1/1/2024 18:54,-75.2266,39.8734,45,34,65.13,330,7,0,30.01,1016.2,10,,FEW,BKN,OVC,,1700,2800,9000,,,,,,,,,40.63,
PHL,1/1/2024 19:54,-75.2266,39.8734,45,34,65.13,350,6,0,30.02,1016.5,10,,BKN,OVC,,,2400,9000,,,,,,,,,,41.19,
PHL,1/1/2024 20:32,-75.2266,39.8734,45,34,65.13,330,7,0,30.03,,10,,FEW,BKN,OVC,,2600,3000,9000,,,,,,,,,40.63,
PHL,1/1/2024 20:54,-75.2266,39.8734,45,34,65.13,340,5,0,30.03,1016.9,10,,BKN,OVC,,,3200,9000,,,,,,,,,,41.83,
PHL,1/1/2024 21:54,-75.2266,39.8734,44,34,67.66,340,6,0,30.04,1017.3,10,,SCT,BKN,OVC,,3600,6000,9000,,,,,,,,,39.98,
PHL,1/1/2024 22:54,-75.2266,39.8734,44,35,70.42,330,6,T,30.05,1017.6,10,,SCT,BKN,OVC,,4200,6000,10000,,,,,,,,,39.98,
PHL,1/1/2024 23:54,-75.2266,39.8734,43,35,73.16,330,7,0,30.06,1017.9,10,,BKN,OVC,,,7500,8500,,,,,,,,,,38.19,
PHL,1/2/2024 00:54,-75.2266,39.8734,43,35,73.16,340,6,0,30.07,1018.3,10,,SCT,OVC,,,7500,8500,,,,,,,,,,38.78,
PHL,1/2/2024 01:54,-75.2266,39.8734,43,33,67.54,350,8,0,30.08,1018.6,10,,SCT,BKN,OVC,,4100,7500,10000,,,,,,,,,37.66,
PHL,1/2/2024 02:54,-75.2266,39.8734,42,29,59.69,360,9,0,30.09,1018.9,10,,FEW,SCT,OVC,,4100,7000,10000,,,,,,,,,35.95,
PHL,1/2/2024 03:54,-75.2266,39.8734,40,28,61.91,360,8,0,30.09,1019,10,,BKN,BKN,,,7000,10000,,,,,,,,,,33.97,
PHL,1/2/2024 04:54,-75.2266,39.8734,37,27,66.82,350,8,0,30.1,1019.1,10,,FEW,FEW,,,7500,10000,,,,,,,,,,30.27,
PHL,1/2/2024 05:54,-75.2266,39.8734,36,26,66.69,360,10,0,30.1,1019.1,10,,CLR,,,,,,,,,,,,,,,27.98,
PHL,1/2/2024 06:54,-75.2266,39.8734,35,25,66.57,350,7,0,30.1,1019.3,10,15,CLR,,,,,,,,,,,,,,,28.44,
PHL,1/2/2024 07:54,-75.2266,39.8734,33,24,69.16,360,7,0,30.11,1019.7,10,,FEW,,,,3500,,,,,,,,,,,26,
PHL,1/2/2024 08:54,-75.2266,39.8734,33,24,69.16,350,7,0,30.1,1019.3,10,,FEW,,,,3500,,,,,,,,,,,26,
PHL,1/2/2024 09:45,-75.2266,39.8734,32,24,72,360,4,0,30.1,,10,,BKN,,,,2800,,,,,,,,,,,27.42,
PHL,1/2/2024 09:54,-75.2266,39.8734,33,24,69.16,350,4,0,30.1,1019.4,10,,BKN,,,,2800,,,,,,,,,,,28.59,
PHL,1/2/2024 10:54,-75.2266,39.8734,34,25,69.28,350,5,0,30.12,1019.9,10,,OVC,,,,2700,,,,,,,,,,,28.77,
PHL,1/2/2024 11:54,-75.2266,39.8734,35,24,63.85,340,9,0,30.14,1020.5,10,,OVC,,,,2800,,,,,,,,,,,27.24,
PHL,1/2/2024 12:30,-75.2266,39.8734,34,22,61.09,350,10,0,30.14,,10,,BKN,,,,3000,,,,,,,,,,,25.48,
PHL,1/2/2024 12:54,-75.2266,39.8734,34,23,63.72,350,10,0,30.15,1020.8,10,,BKN,,,,3000,,,,,,,,,,,25.48,
PHL,1/2/2024 13:45,-75.2266,39.8734,35,23,61.23,350,8,0,30.16,,10,,OVC,,,,2900,,,,,,,,,,,27.81,
PHL,1/2/2024 13:54,-75.2266,39.8734,36,24,61.37,350,8,0,30.16,1021.3,10,,OVC,,,,2900,,,,,,,,,,,29.04,
PHL,1/2/2024 14:54,-75.2266,39.8734,36,23,58.85,330,12,0,30.17,1021.5,10,,OVC,,,,2900,,,,,,,,,,,27.09,
PHL,1/2/2024 15:06,-75.2266,39.8734,37,23,56.57,310,12,0,30.17,,10,,BKN,,,,3000,,,,,,,,,,,28.37,
PHL,1/2/2024 15:54,-75.2266,39.8734,39,24,54.54,330,9,0,30.15,1020.9,10,,SCT,,,,3200,,,,,,,,,,,32.22,
PHL,1/2/2024 16:54,-75.2266,39.8734,41,24,50.46,320,11,0,30.11,1019.5,10,,FEW,,,,3200,,,,,,,,,,,33.84,
PHL,1/2/2024 17:54,-75.2266,39.8734,43,24,46.71,320,11,0,30.07,1018.2,10,,FEW,,,,3200,,,,,,,,,,,36.37,
PHL,1/2/2024 18:54,-75.2266,39.8734,43,24,46.71,290,8,0,30.05,1017.6,10,,FEW,FEW,,,3300,30000,,,,,,,,,,37.66,
PHL,1/2/2024 19:54,-75.2266,39.8734,43,23,44.8,290,6,0,30.05,1017.4,10,16,FEW,FEW,,,3500,30000,,,,,,,,,,38.78,
PHL,1/2/2024 20:54,-75.2266,39.8734,43,23,44.8,320,9,0,30.04,1017.2,10,,FEW,FEW,,,4000,30000,,,,,,,,,,37.19,
PHL,1/2/2024 21:54,-75.2266,39.8734,42,23,46.55,310,7,0,30.05,1017.5,10,,FEW,FEW,,,4000,30000,,,,,,,,,,36.97,
PHL,1/2/2024 22:54,-75.2266,39.8734,42,23,46.55,280,5,0,30.06,1017.9,10,,FEW,,,,28000,,,,,,,,,,,38.27,
PHL,1/2/2024 23:54,-75.2266,39.8734,40,25,54.69,280,10,0,30.07,1018.1,10,,FEW,,,,28000,,,,,,,,,,,33,
PHL,1/3/2024 00:54,-75.2266,39.8734,39,25,56.86,280,9,0,30.07,1018,10,,CLR,,,,,,,,,,,,,,,32.22,
PHL,1/3/2024 01:54,-75.2266,39.8734,36,25,63.98,250,7,0,30.07,1018.3,10,,CLR,,,,,,,,,,,,,,,29.65,
PHL,1/3/2024 02:54,-75.2266,39.8734,35,24,63.85,260,8,0,30.07,1018.2,10,,CLR,,,,,,,,,,,,,,,27.81,
PHL,1/3/2024 03:54,-75.2266,39.8734,34,24,66.45,250,5,0,30.07,1018.2,10,,CLR,,,,,,,,,,,,,,,28.77,
PHL,1/3/2024 04:54,-75.2266,39.8734,33,24,69.16,260,7,0,30.07,1018.3,10,,FEW,,,,30000,,,,,,,,,,,26,
PHL,1/3/2024 05:54,-75.2266,39.8734,32,24,72,250,7,0,30.06,1017.9,10,,CLR,,,,,,,,,,,,,,,24.78,
PHL,1/3/2024 06:54,-75.2266,39.8734,32,24,72,260,8,0,30.06,1018,10,,CLR,,,,,,,,,,,,,,,24.11,
PHL,1/3/2024 07:54,-75.2266,39.8734,30,24,78.07,260,8,0,30.07,1018.1,10,,CLR,,,,,,,,,,,,,,,21.65,
PHL,1/3/2024 08:54,-75.2266,39.8734,30,24,78.07,260,9,0,30.06,1017.9,10,,FEW,,,,28000,,,,,,,,,,,21.03,
